state,value
Alabama,3.869114327
Alaska,2.982271233
Arizona,4.384102408
Arkansas,3.741545517
California,5.764882687
Colorado,4.320125506
Connecticut,3.970393372
Delaware,3.157758886
District of Columbia,3.195068996
Florida,4.766933094
Georgia,4.655743335
Hawaii,3.990294446
Idaho,3.232233521
Illinois,4.398564943
Indiana,3.835373452
Iowa,3.921530414
Kansas,4.146593102
Kentucky,3.702947246
Louisiana,4.4525837
Maine,3.233757363
Maryland,4.373555607
Massachusetts,4.632609117
Michigan,4.22497309
Minnesota,4.371880249
Mississippi,3.846646329
Missouri,4.162056337
Montana,2.472756449
Nebraska,3.898176483
Nevada,3.995284108
New Hampshire,3.393048466
New Jersey,4.314457123
New Mexico,3.674493717
New York,4.45884928
North Carolina,4.436226275
North Dakota,2.806179974
Ohio,4.117966935
Oklahoma,4.211067119
Oregon,4.418218403
Pennsylvania,4.591153684
Rhode Island,3.122543524
South Carolina,3.832572775
South Dakota,2.881954971
Tennessee,4.001430812
Texas,5.324103349
Utah,3.904445041
Vermont,3.008174184
Virginia,4.72858913
Washington,4.823311175
West Virginia,2.954724791
Wisconsin,3.688152756
Wyoming,2.281033367
